filename,split,class,issue,severity,recommended_action,action_taken
FireDetectionImage_MirrorWEBFire1049_jpg.rf.67a86a4e873669e57ceaa6e251435a6b.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
FireDetectionImage_NoiseWEBFire950_jpg.rf.45e4f56c4c477ecf823d9f939a9e2e29.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
FireDetectionImage_NoiseWEBFire950_jpg.rf.53447a1700f69b78f9911120980e5143.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
MirrorWEBFire1090_jpg.rf.a9d363893d81c8b35e2b9a0ce5382d6a.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
MirrorWEBFire1342_jpg.rf.5046ca794d3bd0d21d766445d749532a.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
MirrorWEBFire1342_jpg.rf.f0453894d08cb248b0d3ca6ff8ba7f4f.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
MirrorWEBFire1356_jpg.rf.ba1969850e70ce051ed8b271da7bc1b1.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
MirrorWEBFire1358_jpg.rf.60dcd22682c550b768124d37f5272de4.jpg,train,Fire,extremely small box (area=0.00016),review,verify annotation,kept - plausible distant object
MirrorWEBFire2133_jpg.rf.a501b4994d0fd23fd226ebe3191fdf12.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
MirrorWEBFire2133_jpg.rf.a501b4994d0fd23fd226ebe3191fdf12.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
MirrorWEBFire398_jpg.rf.5b70bf6d94b55bd0479431d349442f5e.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
MirrorWEBFire398_jpg.rf.5bce5a24f2ba897e5517f4e5d666f9f0.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
MirrorWEBFire398_jpg.rf.b9a2f2644febd27971ea0828b8245586.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke1566_jpg.rf.db154e796c8a97d741d538590d1f1207.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke2270_jpg.rf.4465c4e55270356c091a7b0344961014.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke2270_jpg.rf.b45df60047a3222e8f8e8b1f49042682.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke2281_jpg.rf.e40c2723d29f2b7d406f1c4ed23d71b9.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke2281_jpg.rf.e40c2723d29f2b7d406f1c4ed23d71b9.jpg,train,Fire,extremely small box (area=0.00016),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke2292_jpg.rf.672ab27090cfc52a2636a3ca2dfa4bfd.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke2292_jpg.rf.a179304c74d20cebe40b7cadb76d5767.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
MirrorWEBSmoke721_jpg.rf.5afc6f59eaa482caaa738e54a01380e3.jpg,train,Fire,extremely small box (area=0.00016),review,verify annotation,kept - plausible distant object
NoiseWEBFire1086_jpg.rf.1eabf08a220de019e7d31568927c9bd6.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
NoiseWEBFire1090_jpg.rf.e7d185f218d7d8bfa254400ea7b847d3.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
NoiseWEBFire1100_jpg.rf.52ef06054460b1fb74c3809324dcc12a.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
NoiseWEBFire1100_jpg.rf.52ef06054460b1fb74c3809324dcc12a.jpg,train,Fire,extremely small box (area=0.00016),review,verify annotation,kept - plausible distant object
NoiseWEBFire1294_jpg.rf.829304504fb2a034414558804e3f37d5.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
NoiseWEBFire1294_jpg.rf.8a296a35bc0c58efafc1b814de02324a.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
NoiseWEBFire1342_jpg.rf.f4e3c61f3460dc32173dbd6530806b57.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
NoiseWEBFire1520_jpg.rf.6b8aefdbba45a054d021d0fa2b7bc6a0.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
NoiseWEBFire1520_jpg.rf.6b8aefdbba45a054d021d0fa2b7bc6a0.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
NoiseWEBSmoke2610_jpg.rf.390bcdbafd06b80e55a88cc5052432a8.jpg,train,Fire,extremely small box (area=0.00006),review,verify annotation,kept - plausible distant object
NoiseWEBSmoke2874_jpg.rf.d215bc31c2faef5387cc175e22a46064.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
NoiseWEBSmoke2874_jpg.rf.edf13f48e455651f1895cbfedcb6d4f8.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
NoiseWEBSmoke3326_jpg.rf.7197b9fef2c3fcbbc4c8c83762be3c3a.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
WEBFire1054_jpg.rf.1cec9f15cec01e08bbb4bcd7f19ca76b.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
WEBFire1085_jpg.rf.762e4ad0c258abb7d5d30035815a87d7.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
WEBFire1085_jpg.rf.ebd9ecd30c16856913f87b019f256de6.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
WEBFire1090_jpg.rf.e361b9f0fdce42ccd41d1c4c45d76b4f.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
WEBFire1342_jpg.rf.20d40e0688cad9ceb63c565dc9bdcf9f.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
WEBFire1356_jpg.rf.693c1c9b33c52e44b3ee700c28305deb.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
WEBFire1356_jpg.rf.da300be01409547036a4336ff0595141.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
WEBFire1358_jpg.rf.c8d0713f88c250a675564887a7b7fef6.jpg,train,Fire,extremely small box (area=0.00016),review,verify annotation,kept - plausible distant object
WEBFire1520_jpg.rf.f2c35d39672d1ea17f96f1d28b6f16ab.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
WEBFire1520_jpg.rf.f2c35d39672d1ea17f96f1d28b6f16ab.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
WEBFire1971_jpg.rf.295bd7f74b13baa57fad020bb716e30d.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
WEBFire2133_jpg.rf.07e07d0f05510b8048903967fb1fc3c1.jpg,train,Fire,extremely small box (area=0.00014),review,verify annotation,kept - plausible distant object
WEBFire2133_jpg.rf.07e07d0f05510b8048903967fb1fc3c1.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
WEBFire2198_jpg.rf.1b67c1770826a3d39132f5779c03e912.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
WEBFire242_jpg.rf.4ee1fb90f0a49ab491943da88c2caafc.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
WEBFire242_jpg.rf.4ee1fb90f0a49ab491943da88c2caafc.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
WEBFire242_jpg.rf.4ee1fb90f0a49ab491943da88c2caafc.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
WEBFire242_jpg.rf.b9b51f9b3cbae7f0292c04513e05c7d8.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
WEBFire242_jpg.rf.b9b51f9b3cbae7f0292c04513e05c7d8.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
WEBFire242_jpg.rf.b9b51f9b3cbae7f0292c04513e05c7d8.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
WEBFire243_jpg.rf.958d3cfeb0a8884a77f178f909f97368.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
WEBFire243_jpg.rf.958d3cfeb0a8884a77f178f909f97368.jpg,train,Fire,extremely small box (area=0.00015),review,verify annotation,kept - plausible distant object
WEBFire245_jpg.rf.f7cf27eea4931f5bebf22b8571e77a64.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
WEBFire245_jpg.rf.f7cf27eea4931f5bebf22b8571e77a64.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
WEBFire247_jpg.rf.3b3aeec9597e7d32578a22ad95828d2c.jpg,train,Fire,extremely small box (area=0.00016),review,verify annotation,kept - plausible distant object
WEBFire247_jpg.rf.3b3aeec9597e7d32578a22ad95828d2c.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
WEBFire247_jpg.rf.3b3aeec9597e7d32578a22ad95828d2c.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
WEBFire247_jpg.rf.7e963d01c6d5aedf83fe333fb62c1145.jpg,train,Fire,extremely small box (area=0.00016),review,verify annotation,kept - plausible distant object
WEBFire247_jpg.rf.7e963d01c6d5aedf83fe333fb62c1145.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
WEBFire247_jpg.rf.7e963d01c6d5aedf83fe333fb62c1145.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
WEBFire250_jpg.rf.d90cc1097ec7cfea76b4da9f069e8c87.jpg,train,Fire,extremely small box (area=0.00012),review,verify annotation,kept - plausible distant object
WEBFire250_jpg.rf.d90cc1097ec7cfea76b4da9f069e8c87.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
WEBFire250_jpg.rf.d90cc1097ec7cfea76b4da9f069e8c87.jpg,train,Fire,extremely small box (area=0.00020),review,verify annotation,kept - plausible distant object
WEBFire269_jpg.rf.6b66689402106120eb59cdeade2acfc8.jpg,train,Fire,extremely small box (area=0.00018),review,verify annotation,kept - plausible distant object
WEBFire269_jpg.rf.6b66689402106120eb59cdeade2acfc8.jpg,train,Fire,extremely small box (area=0.00009),review,verify annotation,kept - plausible distant object
