filename,n_gt,n_pred,tp,fp,fn,loc,category
0094_jpg.rf.604f1ce16f7cf6faa63c24925f5eb090.jpg,2,0,0,0,2,0,false_negative
0114_jpg.rf.7d28b3cf35e22b7436518923eaefd163.jpg,1,1,1,0,0,0,true_positive
0124_jpg.rf.3c39dfe4c07ee58c12916e77e77833b8.jpg,1,1,1,0,0,0,true_positive
0124_jpg.rf.a31cb0873562b2ea0a568a00f8191b85.jpg,2,0,0,0,2,0,false_negative
0128_jpg.rf.4b9525897603621404345cbac7d977ca.jpg,2,1,1,0,1,0,false_negative
0137_jpg.rf.979ab01e8d6d2929d2c8d0c168ada89b.jpg,1,0,0,0,1,0,false_negative
0137_jpg.rf.bd99ec327b337a137cbd37ee1e89b168.jpg,1,1,1,0,0,0,true_positive
0137_jpg.rf.f266ec77f41a72eed5c3bdc5156b542b.jpg,1,0,0,0,1,0,false_negative
0137_jpg.rf.fd40ea82f33ab20c7593d40a7826d314.jpg,1,0,0,0,1,0,false_negative
0184_jpg.rf.dc5b7914ec6572bba8226ab75394c3e0.jpg,2,3,2,1,0,0,false_positive
1019_jpg.rf.67e200b061f44a6cb2712e395a9c572e.jpg,8,1,1,0,7,0,false_negative
1026_jpg.rf.8edbee8d3d0404e86fc62b94d41c1cc9.jpg,2,2,2,0,0,0,true_positive
1032_jpg.rf.8f6f319c57a84d123ae9056fcee76029.jpg,3,3,1,2,2,0,mixed_error
1049_jpg.rf.eb005e453a7ef39480e7af9e9564abde.jpg,2,1,1,0,1,0,false_negative
1073_jpg.rf.80ecea38e3e9b750fab7eb1660549be1.jpg,3,3,1,2,2,0,mixed_error
1128_jpg.rf.5e1b24d0c34b73b6040ed8c35405a4bf.jpg,1,1,1,0,0,0,true_positive
1150_jpg.rf.9559d060bfb86b991d24876f863a2af9.jpg,4,2,2,0,2,0,false_negative
1230_jpg.rf.40c9c200a7b8fef604b49ccb3f1b90dc.jpg,2,2,2,0,0,0,true_positive
1255_jpg.rf.cb3487a23c5d5c8c29ebac9122bf013c.jpg,1,2,1,1,0,0,false_positive
139_jpg.rf.f23855c93dcfdf90aaa6a4d51e288f76.jpg,11,2,1,0,9,1,localization
14_jpg.rf.3bf7b742def9cd304d60890f7a206bea.jpg,3,5,2,2,0,1,localization
