epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.63,1.99104,3.46816,1.87331,0.17895,0.1858,0.08762,0.03023,1.4501,75.0127,1.43707,0.000553272,0.000553272,0.000553272
2,318.02,2.04792,2.84043,1.95896,0.15447,0.21464,0.08618,0.0283,1.44082,40.2711,1.41211,0.00108149,0.00108149,0.00108149
3,470.915,2.12158,2.68399,2.01428,0.18559,0.16224,0.08502,0.02707,1.53012,39.5473,1.58945,0.00158221,0.00158221,0.00158221
4,633.322,2.06848,2.60896,1.99817,0.24195,0.18243,0.1309,0.04384,1.509,5.37225,1.44293,0.00154323,0.00154323,0.00154323
5,794.42,2.05351,2.49226,1.95052,0.28275,0.26898,0.20026,0.07103,1.3879,12.5306,1.37593,0.00150197,0.00150197,0.00150197
6,953.594,2.00942,2.42332,1.91541,0.26662,0.26186,0.17852,0.06617,1.39916,16.5539,1.39159,0.00146071,0.00146071,0.00146071
7,1109.05,1.95988,2.33077,1.88148,0.31224,0.2801,0.20473,0.08072,1.39949,14.8409,1.3448,0.00141945,0.00141945,0.00141945
8,1267.07,1.94877,2.29919,1.85825,0.3662,0.28508,0.24778,0.09215,1.41331,5.44165,1.36909,0.00137819,0.00137819,0.00137819
9,1428.08,1.92151,2.23442,1.82969,0.39287,0.32602,0.30434,0.12639,1.30096,32.3934,1.26371,0.00133693,0.00133693,0.00133693
10,1588.78,1.8906,2.17378,1.8016,0.3989,0.32018,0.28541,0.11992,1.31729,17.0967,1.27257,0.00129568,0.00129568,0.00129568
11,1745.03,1.86804,2.15602,1.77641,0.45884,0.34916,0.32743,0.1282,1.31517,7.72977,1.27825,0.00125442,0.00125442,0.00125442
12,1903.59,1.85925,2.10289,1.77846,0.41579,0.3113,0.31422,0.13591,1.28728,18.9861,1.2409,0.00121316,0.00121316,0.00121316
13,2059.74,1.83237,2.03835,1.78275,0.47993,0.37422,0.37087,0.15426,1.27907,42.1829,1.23014,0.0011719,0.0011719,0.0011719
14,2217.79,1.82782,2.02835,1.75111,0.45857,0.34216,0.34775,0.14527,1.29998,8.31441,1.2392,0.00113064,0.00113064,0.00113064
15,2379.87,1.80261,1.9913,1.73949,0.48684,0.3344,0.35059,0.15591,1.25202,9.59137,1.2305,0.00108938,0.00108938,0.00108938
16,2543.84,1.79572,1.96694,1.74,0.45614,0.34427,0.3543,0.15184,1.25998,13.4694,1.22492,0.00104813,0.00104813,0.00104813
17,2703.97,1.78313,1.93163,1.71687,0.42727,0.35294,0.30549,0.12961,1.28945,18.2821,1.27056,0.00100687,0.00100687,0.00100687
18,2861.89,1.76018,1.9271,1.71444,0.44581,0.37362,0.354,0.15842,1.23872,21.5267,1.20601,0.00096561,0.00096561,0.00096561
19,3031.13,1.7586,1.9032,1.69847,0.48068,0.40757,0.40277,0.17373,1.25053,9.92325,1.19505,0.000924352,0.000924352,0.000924352
20,5937.04,1.75944,1.86317,1.67781,0.46623,0.34867,0.3709,0.16105,1.25557,24.6854,1.22988,0.000883093,0.000883093,0.000883093
21,6814.81,1.72412,1.82425,1.68418,0.4807,0.40054,0.41153,0.17475,1.24292,20.0957,1.21459,0.000841835,0.000841835,0.000841835
22,7717.69,1.70905,1.786,1.65065,0.56727,0.38289,0.42344,0.18511,1.21722,19.6967,1.18715,0.000800577,0.000800577,0.000800577
23,7876.07,1.71039,1.81267,1.66312,0.48501,0.37841,0.38331,0.17025,1.23511,11.2828,1.21178,0.000759318,0.000759318,0.000759318
24,8029.94,1.70643,1.7796,1.67111,0.54075,0.39311,0.42297,0.19357,1.19379,15.9259,1.16821,0.00071806,0.00071806,0.00071806
25,8186.88,1.69139,1.74656,1.64854,0.50664,0.36822,0.39043,0.17622,1.22878,8.95754,1.21885,0.000676802,0.000676802,0.000676802
26,8340.89,1.66627,1.70105,1.63277,0.50255,0.4244,0.4229,0.18029,1.23307,15.7705,1.19114,0.000635544,0.000635544,0.000635544
27,8498.22,1.65684,1.69567,1.62452,0.51385,0.42791,0.44608,0.20283,1.19305,19.7626,1.16823,0.000594286,0.000594286,0.000594286
28,8656.66,1.63332,1.6449,1.61221,0.56933,0.42099,0.454,0.21238,1.18752,21.5648,1.16022,0.000553027,0.000553027,0.000553027
