epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.842,2.32585,3.56548,2.34138,0.07502,0.09082,0.03155,0.00812,1.7201,9.28251,1.86112,0.000555367,0.000555367,0.06724
2,667.269,2.23301,3.26738,2.24879,0.12529,0.08614,0.05256,0.01691,1.4247,3.79466,1.58684,0.00104993,0.00104993,0.0344012
3,988.876,2.12066,3.13072,2.19257,0.18444,0.16673,0.09544,0.03018,1.47635,4.20952,1.58457,0.00148336,0.00148336,0.00150134
4,1309.11,2.08308,3.07127,2.13323,0.18479,0.19493,0.08183,0.02396,1.44922,5.35053,1.56737,0.00139195,0.00139195,0.00139195
5,1628.52,2.04301,2.89321,2.10181,0.22646,0.20479,0.12322,0.0416,1.35662,4.86817,1.47083,0.00130026,0.00130026,0.00130026
6,1950.43,1.99599,2.85159,2.04018,0.22481,0.22928,0.13732,0.05154,1.3174,3.20103,1.40058,0.00120857,0.00120857,0.00120857
7,2270.98,1.92117,2.71667,1.96803,0.23577,0.26235,0.15714,0.05413,1.32427,2.57009,1.42484,0.00111689,0.00111689,0.00111689
8,2592.41,1.88195,2.61688,1.9379,0.17907,0.25928,0.12693,0.0471,1.30597,4.46787,1.38419,0.00102521,0.00102521,0.00102521
9,2933.21,1.79836,2.26457,1.87008,0.21213,0.26647,0.14489,0.05158,1.28551,4.68173,1.4018,0.00093352,0.00093352,0.00093352
10,3248.89,1.71426,2.10266,1.80114,0.29374,0.27752,0.17828,0.07062,1.24467,2.65072,1.34692,0.000841835,0.000841835,0.000841835
11,3565.28,1.73525,2.03747,1.8003,0.33362,0.26153,0.22278,0.08562,1.22739,3.32299,1.3096,0.00075015,0.00075015,0.00075015
12,3881.04,1.68977,1.93436,1.77101,0.32142,0.2986,0.22744,0.09079,1.2488,2.48165,1.35206,0.000658465,0.000658465,0.000658465
13,4196.78,1.65937,1.89318,1.73107,0.31673,0.32049,0.21061,0.08638,1.21071,3.26405,1.29418,0.00056678,0.00056678,0.00056678
14,4511.57,1.59535,1.793,1.67388,0.37762,0.30328,0.25872,0.10658,1.2161,2.37732,1.30213,0.000475095,0.000475095,0.000475095
15,4828.7,1.61207,1.79832,1.69149,0.40832,0.2962,0.26333,0.11305,1.186,2.43046,1.28045,0.00038341,0.00038341,0.00038341
16,5144.54,1.55501,1.69781,1.63855,0.37533,0.2925,0.25842,0.11095,1.18357,2.02029,1.25075,0.000291725,0.000291725,0.000291725
17,5461.15,1.54163,1.67712,1.63829,0.34628,0.3044,0.23921,0.10281,1.18418,3.10429,1.26885,0.00020004,0.00020004,0.00020004
18,5777.81,1.50801,1.60919,1.60566,0.35557,0.3128,0.27675,0.11864,1.17177,2.51447,1.24514,0.000108355,0.000108355,0.000108355
