epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.332,2.00601,3.57527,1.8872,0.04776,0.11584,0.02439,0.00784,1.47062,55.7486,1.41011,0.000553272,0.000553272,0.000553272
2,378.972,2.0977,2.86636,1.95389,0.20807,0.18437,0.11195,0.0363,1.53047,110.366,1.486,0.00101745,0.00101745,0.00101745
3,598.125,2.27688,2.94474,2.19503,0.10161,0.21179,0.0657,0.01897,1.52717,126.676,1.4966,0.00138995,0.00138995,0.00138995
4,796.706,2.22711,2.70074,2.16021,0.22146,0.154,0.10653,0.03937,1.49899,9.24479,1.49568,0.00125442,0.00125442,0.00125442
5,999.208,2.11912,2.52497,2.05251,0.29057,0.24795,0.19085,0.07331,1.40188,29.8731,1.39755,0.00111689,0.00111689,0.00111689
6,1182.32,2.06903,2.34335,1.99923,0.40597,0.28156,0.26111,0.09977,1.32371,29.3494,1.30896,0.000979362,0.000979362,0.000979362
7,1375.87,2.01513,2.21087,1.95022,0.3383,0.3526,0.30342,0.12258,1.28375,18.698,1.28455,0.000841835,0.000841835,0.000841835
8,1560.24,1.95563,2.09856,1.90416,0.39703,0.36419,0.32393,0.14223,1.27161,15.6588,1.23262,0.000704307,0.000704307,0.000704307
9,1748.72,1.91324,2.02407,1.84714,0.49487,0.34209,0.36055,0.16622,1.22935,12.8989,1.22708,0.00056678,0.00056678,0.00056678
10,1929.27,1.86802,1.93772,1.81422,0.42697,0.39729,0.3788,0.16468,1.24507,15.6545,1.20749,0.000429253,0.000429253,0.000429253
11,2106.63,1.82224,1.85699,1.77931,0.52758,0.39418,0.41837,0.19253,1.19983,9.53831,1.17591,0.000291725,0.000291725,0.000291725
12,2284.19,1.78498,1.76234,1.7411,0.52679,0.40983,0.43481,0.20039,1.18958,9.74255,1.16562,0.000154198,0.000154198,0.000154198
