epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.747,1.50037,2.54081,1.52052,0.57937,0.42234,0.47457,0.21406,1.2011,46.4736,1.17664,0.0001,0.0001,0.0001
2,312.976,1.48191,2.44807,1.5087,0.54935,0.43912,0.47665,0.21783,1.19215,38.5573,1.16962,9.1e-05,9.1e-05,9.1e-05
3,460.879,1.47429,2.44212,1.50493,0.55156,0.43298,0.47184,0.218,1.19309,42.4462,1.16896,8.2e-05,8.2e-05,8.2e-05
4,607.061,1.47695,2.42374,1.499,0.57745,0.42433,0.47449,0.21814,1.19752,47.7501,1.17134,7.3e-05,7.3e-05,7.3e-05
5,752,1.45339,2.40538,1.48536,0.56195,0.43058,0.47182,0.21355,1.20405,36.2709,1.17851,6.4e-05,6.4e-05,6.4e-05
6,897.885,1.46771,2.38529,1.48703,0.53557,0.45245,0.47792,0.21824,1.19983,39.7552,1.17304,5.5e-05,5.5e-05,5.5e-05
7,1046.36,1.45684,2.35561,1.4875,0.61318,0.41673,0.47879,0.21755,1.20327,43.0789,1.16854,4.6e-05,4.6e-05,4.6e-05
8,1195.1,1.46061,2.3687,1.48593,0.58091,0.44182,0.48086,0.21585,1.21176,38.9189,1.18302,3.7e-05,3.7e-05,3.7e-05
9,1341.18,1.45878,2.33531,1.4836,0.54426,0.44219,0.47557,0.21481,1.20891,42.2874,1.17557,2.8e-05,2.8e-05,2.8e-05
10,1486.68,1.46111,2.32782,1.48209,0.59314,0.42269,0.4764,0.21649,1.20987,43.9918,1.17862,1.9e-05,1.9e-05,1.9e-05
