epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.597,2.06171,7.2655,1.91615,0.20952,0.19456,0.08937,0.02759,1.55517,55.4539,1.52725,0.000554469,0.000554469,0.000554469
2,244.469,2.14846,5.90497,2.04255,0.14823,0.15512,0.0504,0.01507,1.65113,49.5826,1.5738,0.0010964,0.0010964,0.0010964
3,360.783,2.14875,5.5116,2.01715,0.29521,0.15924,0.11565,0.03713,1.58023,39.8799,1.4965,0.00162457,0.00162457,0.00162457
4,481.874,2.12456,5.27795,2.00088,0.2991,0.16422,0.16107,0.06068,1.40155,16.4351,1.36325,0.00160511,0.00160511,0.00160511
5,616.312,2.10444,5.1055,1.95436,0.29633,0.23828,0.19348,0.0715,1.44327,72.0245,1.45747,0.00158448,0.00158448,0.00158448
6,732.025,2.03893,4.90579,1.92572,0.31948,0.23726,0.2171,0.08363,1.33145,17.8247,1.30475,0.00156385,0.00156385,0.00156385
7,852.351,2.02505,4.7556,1.91985,0.31185,0.22239,0.21556,0.08271,1.38338,13.0786,1.38504,0.00154323,0.00154323,0.00154323
8,968.347,1.99216,4.69454,1.89678,0.39911,0.25177,0.23889,0.09328,1.32687,6.23922,1.30026,0.0015226,0.0015226,0.0015226
9,1087.25,1.99244,4.6486,1.88036,0.34542,0.33287,0.28452,0.11531,1.33142,38.1041,1.27622,0.00150197,0.00150197,0.00150197
10,1202.9,1.95947,4.52312,1.84833,0.3624,0.32924,0.28302,0.11416,1.30664,9.26149,1.26965,0.00148134,0.00148134,0.00148134
11,1317.56,1.95195,4.44257,1.84469,0.43018,0.34575,0.31343,0.12747,1.27788,11.296,1.24416,0.00146071,0.00146071,0.00146071
12,1432.44,1.92086,4.34863,1.83596,0.45345,0.31504,0.33169,0.14105,1.24571,40.014,1.2359,0.00144008,0.00144008,0.00144008
13,1547.48,1.88535,4.25557,1.79977,0.47071,0.3744,0.36514,0.15007,1.32565,17.3821,1.26984,0.00141945,0.00141945,0.00141945
14,1661.9,1.89742,4.34256,1.82971,0.47046,0.35954,0.36361,0.15821,1.29166,16.4353,1.27467,0.00139882,0.00139882,0.00139882
15,1776.75,1.90192,4.17528,1.81405,0.53934,0.35459,0.37818,0.16264,1.271,33.0712,1.2426,0.00137819,0.00137819,0.00137819
16,1891.41,1.88224,4.18083,1.80498,0.47672,0.33961,0.35405,0.15414,1.25838,6.54554,1.22947,0.00135756,0.00135756,0.00135756
17,2005.83,1.86206,4.09411,1.77516,0.44001,0.3207,0.3221,0.13042,1.33874,14.3017,1.3071,0.00133693,0.00133693,0.00133693
18,2120.29,1.84637,4.06312,1.77431,0.45032,0.38234,0.3776,0.1643,1.24011,13.2005,1.2257,0.0013163,0.0013163,0.0013163
19,2235.6,1.84485,4.03141,1.76907,0.48686,0.35643,0.36352,0.15339,1.25877,49.2264,1.22877,0.00129568,0.00129568,0.00129568
20,2350.48,1.83314,3.92088,1.73345,0.57211,0.3656,0.38658,0.16897,1.26855,17.5589,1.24603,0.00127505,0.00127505,0.00127505
21,2465.41,1.82204,3.90137,1.74364,0.51538,0.38208,0.38529,0.16287,1.27517,10.3265,1.2838,0.00125442,0.00125442,0.00125442
22,2579.86,1.80655,3.82726,1.73929,0.48223,0.35954,0.3737,0.17254,1.23993,15.2028,1.22176,0.00123379,0.00123379,0.00123379
23,2694.73,1.79848,3.79151,1.71767,0.54402,0.33745,0.36808,0.16971,1.22719,22.5501,1.19782,0.00121316,0.00121316,0.00121316
24,2809.24,1.81228,3.80738,1.748,0.51696,0.3855,0.41163,0.18325,1.24271,7.83531,1.22447,0.00119253,0.00119253,0.00119253
25,2927.65,1.78617,3.75978,1.73167,0.4815,0.38702,0.40447,0.18033,1.25065,13.2847,1.22661,0.0011719,0.0011719,0.0011719
26,3043.28,1.7939,3.75553,1.72159,0.507,0.40457,0.41796,0.18805,1.25959,12.5953,1.23248,0.00115127,0.00115127,0.00115127
27,3158.13,1.78836,3.7615,1.72345,0.52998,0.39006,0.4132,0.18942,1.21936,11.2512,1.18081,0.00113064,0.00113064,0.00113064
28,3272.83,1.79064,3.767,1.71972,0.5032,0.38388,0.40306,0.18639,1.22868,29.9853,1.20699,0.00111001,0.00111001,0.00111001
29,3387.58,1.76622,3.6058,1.69217,0.44908,0.37792,0.37476,0.16612,1.23981,23.8483,1.21336,0.00108938,0.00108938,0.00108938
30,3502.15,1.76428,3.62984,1.69935,0.5121,0.40429,0.41628,0.19468,1.20859,15.5189,1.1927,0.00106876,0.00106876,0.00106876
31,3617.17,1.7843,3.67101,1.71298,0.52915,0.40287,0.41948,0.18084,1.25004,10.7436,1.22125,0.00104813,0.00104813,0.00104813
32,3731.89,1.76136,3.63541,1.69354,0.54202,0.40452,0.43042,0.206,1.18561,17.3939,1.17517,0.0010275,0.0010275,0.0010275
33,3846.69,1.75035,3.52877,1.68878,0.56283,0.39469,0.42318,0.19643,1.20093,12.9823,1.18555,0.00100687,0.00100687,0.00100687
34,3961.31,1.73943,3.51703,1.68346,0.50944,0.44361,0.43188,0.20588,1.22426,14.0355,1.20986,0.000986239,0.000986239,0.000986239
35,4076,1.72597,3.49736,1.66339,0.56409,0.39689,0.42673,0.19408,1.2137,14.3371,1.20362,0.00096561,0.00096561,0.00096561
36,4190.61,1.73812,3.4733,1.67181,0.53553,0.41177,0.44052,0.20683,1.21859,18.0904,1.21348,0.000944981,0.000944981,0.000944981
37,4305.7,1.72098,3.49223,1.67981,0.57429,0.40106,0.43511,0.20066,1.22438,21.2933,1.19544,0.000924352,0.000924352,0.000924352
